id,nhom_hang,stt,ten,xuat_xu,quy_cach,dvt,don_gia,anh
1,Giấy in,1,Giấy in A4 Bãi Bằng ĐL70/90 vỏ trắng(tem),Việt Nam,A4 - 500tờ,ream,58000,giay-in_0001.webp
2,Giấy in,2,Giấy in A4 An Hòa ĐL 70/90 ( bọc nilon),Việt Nam,A4 - 500tờ,ream,58000,giay-in_0002.webp
3,Giấy in,3,Giấy in A4 Epaper ĐL70/90,Indonesia,A4 - 500tờ,ream,65000,giay-in_0003.webp
4,Giấy in,4,Giấy in A4 ĐL70/90 Plus vàng,Indonesia,A4 - 500tờ,ream,70000,giay-in_0004.webp
5,Giấy in,5,Giấy in A4 ĐL70/90 Paper One,Indonesia,A4 - 500tờ,ream,70000,giay-in_0005.webp
6,Giấy in,6,Giấy in A4 Double A ĐL70/90,Thái lan,A4- 500 tờ,ream,77000,giay-in_0006.webp
7,Giấy in,7,Giấy in A4 SuperMe ĐL70,Thái lan,A4 - 500tờ,ream,70000,giay-in_0007.webp
8,Giấy in,8,Giấy in A4 Paper one ĐL80,Indonesia,A4 - 500tờ,ream,85000,giay-in_0008.webp
9,Giấy in,9,Giấy in A4 Supreme ĐL80,Thái lan,A4 - 500tờ,ream,87000,giay-in_0009.webp
10,Giấy in,10,Giấy in Quality A4 ĐL70/90,Thái lan,A4 - 500tờ,ream,62000,giay-in_0010.webp
11,Giấy in,11,Giấy in A4 Plus ĐL80,Indonesia,A4 - 500tờ,ream,80000,giay-in_0011.webp
12,Giấy in,12,Giấy in A4 Smartist ĐL 70/90,Thái Lan,A4 - 500tờ,Ream,62000,giay-in_0012.webp
13,Giấy in,13,Giấy in A4 Double A ĐL80 Thái Lan,Thái lan,A4 - 500tờ,ream,92000,giay-in_0013.webp
14,Giấy in,14,Giấy in A4 Pagi ĐL 70,Indonesia,A4 - 500tờ,ream,58000,giay-in_0014.webp
15,Giấy in,15,"Giấy photo màu A4 - ĐL80 ( xanh nhạt, xanh cốm, hồng, vàng)",Việt Nam,A4 - 500 tờ,ream,130000,giay-in_0015.webp
16,Giấy in,1,Giấy in A5 An hòa ĐL70/90,Việt Nam,A5 - 500tờ,ream,29000,giay-in_0016.webp
17,Giấy in,2,Giấy in A5 Plus ĐL70/90 vàng,Indonesia,A5 - 500tờ,ream,35000,giay-in_0017.webp
18,Giấy in,3,Giấy in Double A- A5 ĐL70/90,Thái lan,A5- 500 tờ,ream,38500,giay-in_0018.webp
19,Giấy in,1,Giấy Plus vàng A3 ĐL 70/90,Indonesia,A3 - 500tờ,ream,140000,giay-in_0019.webp
20,Giấy in,2,Giấy A3 Supreme- ĐL70/90,Thái lan,A3 - 500tờ,ream,140000,giay-in_0020.webp
21,Giấy in,3,Giấy A3 Double A ĐL70/90,Thái lan,A3 - 500tờ,ream,154000,giay-in_0021.webp
